code,title,source_confidence,information_gain_score,symptoms,causes,diagnostic_steps,related_codes,status,issues
P0108,MAP/Barometric Pressure Circuit High Input,HIGH,98.6,5,5,6,5,PASS,
P0109,MAP/Barometric Pressure Circuit Intermittent,HIGH,98.6,5,5,6,5,PASS,
P0111,Intake Air Temperature (IAT) Circuit Range/Performance,HIGH,98.8,5,5,6,5,PASS,
P0112,Intake Air Temperature (IAT) Circuit Low Input,HIGH,98.6,5,5,6,5,PASS,
P0114,Intake Air Temperature (IAT) Circuit Intermittent,HIGH,98.2,5,5,6,5,PASS,
P0115,Engine Coolant Temperature (ECT) Circuit Malfunction,HIGH,98.4,5,5,6,6,PASS,
P0116,Engine Coolant Temperature (ECT) Circuit Range/Performance,HIGH,98.6,5,5,6,6,PASS,
P0117,Engine Coolant Temperature (ECT) Circuit Low Input,HIGH,98.7,5,5,6,6,PASS,
P0118,Engine Coolant Temperature (ECT) Circuit High Input,HIGH,98.7,5,5,6,6,PASS,
P0119,Engine Coolant Temperature (ECT) Circuit Intermittent,HIGH,98.3,5,5,6,6,PASS,
P0120,Throttle/Pedal Position Sensor/Switch A Circuit Malfunction,HIGH,98.7,5,5,6,6,PASS,
P0121,Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance,HIGH,98.8,5,5,6,6,PASS,
P0122,Throttle/Pedal Position Sensor/Switch A Circuit Low Input,HIGH,98.3,5,5,6,6,PASS,
P0123,Throttle/Pedal Position Sensor/Switch A Circuit High Input,HIGH,98.3,5,5,6,6,PASS,
P0124,Throttle/Pedal Position Sensor/Switch A Circuit Intermittent,HIGH,98.5,5,5,6,6,PASS,
P0126,Insufficient Coolant Temperature for Stable Operation,HIGH,98.8,5,5,6,7,PASS,
P0127,Intake Air Temperature Too High,HIGH,98.8,5,5,6,6,PASS,
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),HIGH,98.7,5,5,6,6,PASS,
P0129,Barometric Pressure Too Low,HIGH,98.6,5,5,6,6,PASS,
P0130,"O2 Sensor Circuit Malfunction (Bank 1, Sensor 1)",HIGH,98.3,5,5,6,6,PASS,
P0131,"O2 Sensor Circuit Low Voltage (Bank 1, Sensor 1)",HIGH,98.1,5,5,6,6,PASS,
P0132,"O2 Sensor Circuit High Voltage (Bank 1, Sensor 1)",HIGH,98.1,5,5,6,6,PASS,
P0133,"O2 Sensor Circuit Slow Response (Bank 1, Sensor 1)",HIGH,98.1,5,5,6,6,PASS,
P0136,"O2 Sensor Circuit Malfunction (Bank 1, Sensor 2)",HIGH,98.5,5,5,6,7,PASS,
P0137,"O2 Sensor Circuit Low Voltage (Bank 1, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0138,"O2 Sensor Circuit High Voltage (Bank 1, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0139,"O2 Sensor Circuit Slow Response (Bank 1, Sensor 2)",HIGH,98.3,5,5,6,7,PASS,
P0140,"O2 Sensor Circuit No Activity Detected (Bank 1, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0141,"O2 Sensor Heater Circuit Malfunction (Bank 1, Sensor 2)",HIGH,98.5,5,5,6,7,PASS,
P0142,"O2 Sensor Circuit Malfunction (Bank 1, Sensor 3)",MEDIUM,98.8,5,5,6,7,PASS,
P0143,"O2 Sensor Circuit Low Voltage (Bank 1, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0144,"O2 Sensor Circuit High Voltage (Bank 1, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0145,"O2 Sensor Circuit Slow Response (Bank 1, Sensor 3)",MEDIUM,98.7,5,5,6,7,PASS,
P0146,"O2 Sensor Circuit No Activity Detected (Bank 1, Sensor 3)",MEDIUM,98.6,5,5,6,7,PASS,
P0147,"O2 Sensor Heater Circuit Malfunction (Bank 1, Sensor 3)",MEDIUM,98.8,5,5,6,7,PASS,
P0150,"O2 Sensor Circuit Malfunction (Bank 2, Sensor 1)",HIGH,99,5,5,6,7,PASS,
P0151,"O2 Sensor Circuit Low Voltage (Bank 2, Sensor 1)",HIGH,98.8,5,5,6,7,PASS,
P0152,"O2 Sensor Circuit High Voltage (Bank 2, Sensor 1)",HIGH,98.9,5,5,6,7,PASS,
P0153,"O2 Sensor Circuit Slow Response (Bank 2, Sensor 1)",HIGH,100,5,5,7,7,PASS,
P0154,"O2 Sensor Circuit No Activity Detected (Bank 2, Sensor 1)",HIGH,98.9,5,5,6,7,PASS,
P0155,"O2 Sensor Heater Circuit Malfunction (Bank 2, Sensor 1)",HIGH,99.1,5,5,6,7,PASS,
P0156,"O2 Sensor Circuit Malfunction (Bank 2, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0157,"O2 Sensor Circuit Low Voltage (Bank 2, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0158,"O2 Sensor Circuit High Voltage (Bank 2, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0159,"O2 Sensor Circuit Slow Response (Bank 2, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0160,"O2 Sensor Circuit No Activity Detected (Bank 2, Sensor 2)",HIGH,100,5,5,7,7,PASS,
P0161,"O2 Sensor Heater Circuit Malfunction (Bank 2, Sensor 2)",HIGH,99.2,5,5,6,7,PASS,
P0162,"O2 Sensor Circuit Malfunction (Bank 2, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0163,"O2 Sensor Circuit Low Voltage (Bank 2, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0164,"O2 Sensor Circuit High Voltage (Bank 2, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0165,"O2 Sensor Circuit Slow Response (Bank 2, Sensor 3)",MEDIUM,100,5,5,7,7,PASS,
P0166,"O2 Sensor Circuit No Activity Detected (Bank 2, Sensor 3)",MEDIUM,99.4,5,5,6,7,PASS,
P0167,"O2 Sensor Heater Circuit Malfunction (Bank 2, Sensor 3)",MEDIUM,99.6,5,5,6,7,PASS,
P0168,Fuel Temperature Too High,HIGH,98,5,5,6,7,PASS,
P0169,Incorrect Fuel Composition,MEDIUM,98.4,5,5,6,5,PASS,
P0170,Fuel Trim Malfunction (Bank 1),HIGH,98.3,5,5,6,6,PASS,
P0173,Fuel Trim Malfunction (Bank 2),HIGH,98.3,5,5,6,6,PASS,
P0176,Fuel Composition Sensor Circuit Malfunction,MEDIUM,98.4,5,5,6,5,PASS,
P0177,Fuel Composition Sensor Circuit Range/Performance,MEDIUM,98.4,5,5,6,5,PASS,
P0178,Fuel Composition Sensor Circuit Low Input,MEDIUM,98.2,5,5,6,5,PASS,
P0179,Fuel Composition Sensor Circuit High Input,MEDIUM,98.2,5,5,6,5,PASS,
P0180,Fuel Temperature Sensor 1 Circuit Malfunction,HIGH,100,5,5,6,7,PASS,
P0181,Fuel Temperature Sensor 1 Circuit Range/Performance,HIGH,98.4,5,5,6,7,PASS,
P0182,Fuel Temperature Sensor 1 Circuit Low Input,HIGH,98.2,5,5,6,7,PASS,
P0184,Fuel Temperature Sensor 1 Circuit Intermittent,HIGH,98.3,5,5,6,7,PASS,
P0185,Fuel Temperature Sensor 2 Circuit Malfunction,MEDIUM,99.4,5,5,6,7,PASS,
P0186,Fuel Temperature Sensor 2 Circuit Range/Performance,MEDIUM,98.4,5,5,6,7,PASS,
P0187,Fuel Temperature Sensor 2 Circuit Low Input,MEDIUM,98.2,5,5,6,7,PASS,
P0188,Fuel Temperature Sensor 2 Circuit High Input,MEDIUM,98.2,5,5,6,7,PASS,
P0189,Fuel Temperature Sensor 2 Circuit Intermittent,MEDIUM,98.3,5,5,6,7,PASS,
P0200,Injector Circuit Malfunction,HIGH,98.3,5,5,6,7,PASS,
P0202,Injector Circuit Malfunction - Cylinder 2,HIGH,100,5,5,7,7,PASS,
P0204,Injector Circuit Malfunction - Cylinder 4,HIGH,100,5,5,7,7,PASS,
