code,title,current_raw_gold_ready,phase3_structured_ready,missing_phase3_requirements
B0012,Driver Frontal Deployment Loop Stage 1,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
B0044,Third Row Right Side Airbag Deployment Loop,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0051,Steering Wheel Position Sensor,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0141,Left TCS Solenoid 1 Circuit,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0235,Rear Wheel Speed Signal Circuit Open,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0271,EBCM Malfunction,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0291,Lost Communication With BCM,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0323,T-Case Lock Circuit Low,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0473,Steering Handwheel Speed Sensor Signal V High,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0582,Right Front Solenoid Circuit Low,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
