code,raw_gold,runtime_fallback_needed,quality_score,similarity_risk,gsc_impressions,gsc_clicks,recommended_action
B0012,yes,no,82,low,0,0,Use as gold code hub source.
B0013,yes,no,82,low,0,0,Use as gold code hub source.
B0016,yes,no,82,low,0,0,Use as gold code hub source.
B0019,yes,no,82,low,0,0,Use as gold code hub source.
B0020,yes,no,82,low,0,0,Use as gold code hub source.
B0022,yes,no,82,low,0,0,Use as gold code hub source.
B0023,yes,no,82,low,0,0,Use as gold code hub source.
B0026,yes,no,82,low,0,0,Use as gold code hub source.
B0028,yes,no,82,low,0,0,Use as gold code hub source.
B0033,yes,no,82,low,0,0,Use as gold code hub source.
B0040,yes,no,82,low,0,0,Use as gold code hub source.
B0042,yes,no,82,low,0,0,Use as gold code hub source.
B0044,yes,no,82,low,0,0,Use as gold code hub source.
B0051,yes,no,82,low,0,0,Use as gold code hub source.
B0079,yes,no,82,low,0,0,Use as gold code hub source.
B0081,yes,no,82,low,0,0,Use as gold code hub source.
B0092,yes,no,82,low,0,0,Use as gold code hub source.
C0000,yes,no,82,low,0,0,Use as gold code hub source.
C0035,yes,no,82,low,0,0,Use as gold code hub source.
C0040,yes,no,82,low,0,0,Use as gold code hub source.
C0041,yes,no,82,low,0,0,Use as gold code hub source.
C0045,yes,no,82,low,0,0,Use as gold code hub source.
C0046,yes,no,82,low,0,0,Use as gold code hub source.
C0050,yes,no,82,low,0,0,Use as gold code hub source.
C0051,yes,no,82,low,0,0,Use as gold code hub source.
C0060,yes,no,82,low,0,0,Use as gold code hub source.
C0065,yes,no,82,low,0,0,Use as gold code hub source.
C0070,yes,no,82,low,0,0,Use as gold code hub source.
C0075,yes,no,82,low,0,0,Use as gold code hub source.
C0080,yes,no,82,low,0,0,Use as gold code hub source.
C0085,yes,no,82,low,0,0,Use as gold code hub source.
C0090,yes,no,82,low,0,0,Use as gold code hub source.
C0095,yes,no,82,low,0,0,Use as gold code hub source.
C0110,yes,no,82,low,0,0,Use as gold code hub source.
C0121,yes,no,82,low,0,0,Use as gold code hub source.
C0128,yes,no,82,low,0,0,Use as gold code hub source.
C0141,yes,no,82,low,0,0,Use as gold code hub source.
C0146,yes,no,82,low,0,0,Use as gold code hub source.
C0151,yes,no,82,low,0,0,Use as gold code hub source.
C0156,yes,no,82,low,0,0,Use as gold code hub source.
C0161,yes,no,82,low,0,0,Use as gold code hub source.
C0221,yes,no,82,low,0,0,Use as gold code hub source.
C0222,yes,no,82,low,0,0,Use as gold code hub source.
C0223,yes,no,82,low,0,0,Use as gold code hub source.
C0225,yes,no,82,low,0,0,Use as gold code hub source.
C0226,yes,no,82,low,0,0,Use as gold code hub source.
C0227,yes,no,82,low,0,0,Use as gold code hub source.
C0229,yes,no,82,low,0,0,Use as gold code hub source.
C0235,yes,no,82,low,0,0,Use as gold code hub source.
C0236,yes,no,82,low,0,0,Use as gold code hub source.
C0237,yes,no,82,low,0,0,Use as gold code hub source.
C0238,yes,no,82,low,0,0,Use as gold code hub source.
C0241,yes,no,82,low,0,0,Use as gold code hub source.
C0245,yes,no,82,low,0,0,Use as gold code hub source.
C0254,yes,no,82,low,0,0,Use as gold code hub source.
C0265,yes,no,82,low,0,0,Use as gold code hub source.
C0266,yes,no,82,low,0,0,Use as gold code hub source.
C0267,yes,no,82,low,0,0,Use as gold code hub source.
C0268,yes,no,82,low,0,0,Use as gold code hub source.
C0269,yes,no,82,low,0,0,Use as gold code hub source.
C0271,yes,no,82,low,0,0,Use as gold code hub source.
C0272,yes,no,82,low,0,0,Use as gold code hub source.
C0273,yes,no,82,low,0,0,Use as gold code hub source.
C0274,yes,no,82,low,0,0,Use as gold code hub source.
C0279,yes,no,82,low,0,0,Use as gold code hub source.
C0281,yes,no,82,low,0,0,Use as gold code hub source.
C0283,yes,no,82,low,0,0,Use as gold code hub source.
C0284,yes,no,82,low,0,0,Use as gold code hub source.
C0286,yes,no,82,low,0,0,Use as gold code hub source.
C0287,yes,no,82,low,0,0,Use as gold code hub source.
C0288,yes,no,82,low,0,0,Use as gold code hub source.
C0290,yes,no,82,low,0,0,Use as gold code hub source.
C0291,yes,no,82,low,0,0,Use as gold code hub source.
C0292,yes,no,82,low,0,0,Use as gold code hub source.
C0297,yes,no,82,low,0,0,Use as gold code hub source.
C0298,yes,no,82,low,0,0,Use as gold code hub source.
C0300,yes,no,82,low,0,0,Use as gold code hub source.
C0305,yes,no,82,low,0,0,Use as gold code hub source.
C0306,yes,no,82,low,0,0,Use as gold code hub source.
C0308,yes,no,82,low,0,0,Use as gold code hub source.
C0309,yes,no,82,low,0,0,Use as gold code hub source.
C0310,yes,no,82,low,0,0,Use as gold code hub source.
C0315,yes,no,82,low,0,0,Use as gold code hub source.
C0321,yes,no,82,low,0,0,Use as gold code hub source.
C0323,yes,no,82,low,0,0,Use as gold code hub source.
C0324,yes,no,82,low,0,0,Use as gold code hub source.
C0327,yes,no,82,low,0,0,Use as gold code hub source.
C0357,yes,no,82,low,0,0,Use as gold code hub source.
C0359,yes,no,82,low,0,0,Use as gold code hub source.
C0362,yes,no,82,low,0,0,Use as gold code hub source.
C0367,yes,no,82,low,0,0,Use as gold code hub source.
C0374,yes,no,82,low,0,0,Use as gold code hub source.
C0376,yes,no,82,low,0,0,Use as gold code hub source.
C0379,yes,no,82,low,0,0,Use as gold code hub source.
C0387,yes,no,82,low,0,0,Use as gold code hub source.
C0472,yes,no,82,low,0,0,Use as gold code hub source.
C0473,yes,no,82,low,0,0,Use as gold code hub source.
C0495,yes,no,82,low,0,0,Use as gold code hub source.
C0498,yes,no,82,low,0,0,Use as gold code hub source.
C0499,yes,no,82,low,0,0,Use as gold code hub source.
C0503,yes,no,82,low,0,0,Use as gold code hub source.
C0504,yes,no,82,low,0,0,Use as gold code hub source.
C0550,yes,no,82,low,0,0,Use as gold code hub source.
C0559,yes,no,82,low,0,0,Use as gold code hub source.
C0563,yes,no,82,low,0,0,Use as gold code hub source.
C0577,yes,no,82,low,0,0,Use as gold code hub source.
C0578,yes,no,82,low,0,0,Use as gold code hub source.
C0579,yes,no,82,low,0,0,Use as gold code hub source.
C0582,yes,no,82,low,0,0,Use as gold code hub source.
C0583,yes,no,82,low,0,0,Use as gold code hub source.
C0584,yes,no,82,low,0,0,Use as gold code hub source.
C0587,yes,no,82,low,0,0,Use as gold code hub source.
C0588,yes,no,82,low,0,0,Use as gold code hub source.
C0589,yes,no,82,low,0,0,Use as gold code hub source.
C0592,yes,no,82,low,0,0,Use as gold code hub source.
C0593,yes,no,82,low,0,0,Use as gold code hub source.
C0594,yes,no,82,low,0,0,Use as gold code hub source.
C0611,yes,no,82,low,0,0,Use as gold code hub source.
C0615,yes,no,82,low,0,0,Use as gold code hub source.
C0620,yes,no,82,low,0,0,Use as gold code hub source.
C0625,yes,no,82,low,0,0,Use as gold code hub source.
C0628,yes,no,82,low,0,0,Use as gold code hub source.
C0630,yes,no,82,low,0,0,Use as gold code hub source.
C0635,yes,no,82,low,0,0,Use as gold code hub source.
C0638,yes,no,82,low,0,0,Use as gold code hub source.
C0640,yes,no,82,low,0,0,Use as gold code hub source.
C0643,yes,no,82,low,0,0,Use as gold code hub source.
C0655,yes,no,82,low,0,0,Use as gold code hub source.
C0657,yes,no,82,low,0,0,Use as gold code hub source.
C0658,yes,no,82,low,0,0,Use as gold code hub source.
C0660,yes,no,82,low,0,0,Use as gold code hub source.
C0662,yes,no,82,low,0,0,Use as gold code hub source.
C0663,yes,no,82,low,0,0,Use as gold code hub source.
C0665,yes,no,82,low,0,0,Use as gold code hub source.
C0690,yes,no,82,low,0,0,Use as gold code hub source.
C0691,yes,no,82,low,0,0,Use as gold code hub source.
C0693,yes,no,82,low,0,0,Use as gold code hub source.
C0695,yes,no,82,low,0,0,Use as gold code hub source.
C0696,yes,no,82,low,0,0,Use as gold code hub source.
C0710,yes,no,82,low,0,0,Use as gold code hub source.
C0750,yes,no,82,low,0,0,Use as gold code hub source.
C0755,yes,no,82,low,0,0,Use as gold code hub source.
C0760,yes,no,82,low,0,0,Use as gold code hub source.
C0765,yes,no,82,low,0,0,Use as gold code hub source.
C0800,yes,no,82,low,0,0,Use as gold code hub source.
C0896,yes,no,82,low,0,0,Use as gold code hub source.
P0100,yes,no,82,low,0,0,Use as gold code hub source.
P0101,yes,no,82,low,0,0,Use as gold code hub source.
P0102,yes,no,83,low,25,0,Use as gold code hub source.
P0103,no,yes,59,high,14,1,Upgrade raw record before treating as high-confidence index target.
P0104,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0105,no,yes,59,high,11,0,Upgrade raw record before treating as high-confidence index target.
P0106,no,yes,59,high,10,0,Upgrade raw record before treating as high-confidence index target.
P0107,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0108,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0109,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0110,no,yes,61,high,51,0,Upgrade raw record before treating as high-confidence index target.
P0111,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0112,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0113,no,yes,59,high,25,0,Upgrade raw record before treating as high-confidence index target.
P0114,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0115,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0116,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0117,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0118,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0119,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0120,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
