code,recovery_score,historical_impressions,historical_clicks,best_position_seen,search_demand_score,diagnostic_usefulness_score,content_weakness,existing_internal_authority,code_system,recommended_strategy,target_primary_url,supporting_vehicle_urls,triggering_queries
P0110,100,51,0,7,24,18,high,vehicle-targeted,sensor_air_fuel_o2,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0110,/en/ford/ranger/p0110,ford p0110
P0203,100,46,1,8.6,24,18,high,vehicle-targeted,injector_cylinder_fuel_control,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0203,/en/suzuki/jimny/p0203,p0203 suzuki | dtc p0203 suzuki
P0125,100,40,0,10.1,24,18,high,vehicle-targeted,sensor_air_fuel_o2,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0125,/en/lexus/is/p0125,lexus dtc p0125 | dtc p0125 lexus
P0234,100,40,2,9.3,24,18,high,vehicle-targeted,boost_turbo_fuel_pressure,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0234,/en/suzuki/jimny/p0234,p0234 suzuki | dtc p0234 suzuki
P0216,100,39,1,8.5,24,18,high,vehicle-targeted,injector_cylinder_fuel_control,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0216,/en/ford/fiesta/p0216,p0216 ford | ford p0216
P0183,95,37,0,10.1,24,18,high,general,sensor_air_fuel_o2,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0183,/en/codes/p0183,ford p0183-ff | dtc p0183 ford
P0135,95,29,0,11.6,24,18,high,vehicle-targeted,sensor_air_fuel_o2,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0135,/en/honda/cr-v/p0135,honda p0135
P0103,95,14,1,9.1,24,18,high,vehicle-targeted,sensor_air_fuel_o2,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0103,/en/ford/focus/p0103,p0103 ford focus
P0251,94,28,0,10.3,24,18,high,vehicle-targeted,boost_turbo_fuel_pressure,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0251,/en/ford/f-150/p0251,ford p0251
P0201,92,24,0,8.8,24,18,high,vehicle-targeted,injector_cylinder_fuel_control,Create verified raw-gold DTC record before sitemap expansion; add code-specific diagnostic sequence and semantic links.,/en/codes/p0201,/en/suzuki/jimny/p0201,dtc p0201 suzuki
