URL,page_type,language,quality_score,classification,indexable,in_sitemap,reason,recommended_action
https://www.obd2hq.com/en,locale_hub,en,74,SILVER,yes,yes,Localized homepage hub supports discovery and internal linking.,Keep in sitemap.
https://www.obd2hq.com/en/about,utility,en,60,UTILITY,no,no,Useful for trust/legal/navigation but not a ranking target.,"Keep crawlable for trust/navigation, but remove from ranking sitemap surface."
https://www.obd2hq.com/en/contact,utility,en,60,UTILITY,no,no,Useful for trust/legal/navigation but not a ranking target.,"Keep crawlable for trust/navigation, but remove from ranking sitemap surface."
https://www.obd2hq.com/en/blog,locale_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/news,locale_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/symptoms,locale_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms,locale_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-loss-of-power,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-engine-noise,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-rough-idle,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-engine-shaking-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-check-engine-light-troubleshooting,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-hard-start-issues,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-black-smoke-causes-and-diagnostics,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-white-smoke-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-poor-fuel-economy,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-stalling-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-jerking-causes-checks,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-overheating,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-fuel-smell-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-burning-oil-smell-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/renault-transmission-slipping,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-loss-of-power,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-engine-making-noise,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-rough-idle-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-engine-shaking-causes-and-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-check-engine-light-on,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-hard-start,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-black-smoke-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-emitting-white-smoke,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-poor-fuel-economy,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-stalling-causes-solutions,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-jerking-issues,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-overheating-causes-solutions,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-fuel-smell-causes-checks,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-burning-oil-odor-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/bmw-transmission-slipping,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-loss-of-power,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-engine-noise-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-rough-idle-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-engine-shaking-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-check-engine-light-on,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-hard-start,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-black-smoke-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-white-smoke,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-poor-fuel-economy,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-stalling,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-jerking-issues,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-overheating-causes-and-checks,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-fuel-smell-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-oil-smell-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/volkswagen-transmission-slipping,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-loss-of-power,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-engine-noise,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-rough-idle,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-engine-shaking,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-check-engine-light,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-hard-start,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-black-smoke-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-white-smoke,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-poor-fuel-economy,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-stalling,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-jerking-issue,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-overheating,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-fuel-smell-causes,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-burning-oil-smell,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/ford-focus-transmission-slipping,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-loss-of-power,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-engine-noise,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-rough-idle,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-engine-shaking,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-check-engine-light-on,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-hard-start-guide,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-black-smoke-issues,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-white-smoke-causes-diagnosis,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-poor-fuel-economy,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
https://www.obd2hq.com/en/car-symptoms/fiat-egea-stalling,make_model_hub,en,74,SILVER,yes,yes,Hub page supports discovery and internal linking.,Keep; improve internal links to recovery targets.
